Common Name,Geographic Origin,Breed Group
Afghan Hound,Afghanistan,Ancient-Spitz
Airedale,United Kingdom,Terrier
Akita,Japan,Ancient-Spitz
Alaskan Malamute,United States,Working dog
American Staffordshire Terrier,United States,Terrier
Basset Hound,France,Scent hound
Beagle,United Kingdom,Scent hound
Bernese Mountain Dog,Switzerland,Mastiff-like
Bichon Frise,Spain,Toy
Border Collie,United Kingdom,Herding
Boxer,Germany,Mastiff-like
Bull Terrier,United Kingdom,Mastiff-like
Bulldog,United Kingdom,Mastiff-like
Bullmastiff,United Kingdom,Mastiff-like
Chihuahua,Mexico,Toy
Chinese Crested,China,Toy
Chow-chow,China,Ancient-Spitz
 Cocker Spaniel,United Kingdom,Spaniel
Collie,United Kingdom,Herding
Corgi,Wales,Herding
Dachshund,Germany,Scent hound
Dalmatian,Croatia,Working dog
Doberman,Germany,Working dog
English Cocker Spaniel,United Kingdom,Working dog
French Bulldog,France,Mastiff-like
German Shepherd Dog,Germany,Working dog
Greyhound,United Kingdom,Sight hound
Husky,Russia,Ancient-Spitz
Jack Russell Terrier,United Kingdom,Small terriers
Japanese Chin,Japan,Toy
Mastiff,United Kingdom,Mastiff-like
Miniature Schnauzer,Germany,Terrier
Newfoundland,Canada,Retriever
Pharaoh Hound,Malta,Hound
Pointer,Germany,Spaniel
Pomeranian,Poland,Toy
Poodle,France,Working dog
Pug,China,Toy
Rottweiler,Germany,Mastiff-like
St Bernard,Switzerland,Mastiff-like
Saluki,Persia,Ancient-Spitz
Shar-Pei,China,Ancient-Spitz
Shih Tzu,China,Toy
Tibetan Mastiff,Tibet,Working dog
Yorkshire Terrier,United Kingdom,Small terriers
,,
Dog-wolf hybrid,Europe,
 Gray wolf,North America,
Gray wolf,Great Lakes,
Gray wolf,Europe,
Gray wolf,India,
Gray wolf,Iran,
Gray wolf,Israel,
Gray wolf,Oman,
Gray wolf,Saudi Arabia,
Gray wolf,Turkey,
Gray wolf, Middle East,
Gray wolf,China,
Gray wolf,Mexico,
