year,importer1,importer2,flow1,flow2
2005,Canada,working,1,1
2005,China,toy,1,1
2005,China,non-sporting,1,1
2005,China,toy,1,1
2005,China,non-sporting,1,1
2005,China,toy,1,1
2005,Croatia,non-sporting,1,1
2005,France,hound,1,1
2005,France,non-sporting,1,1
2005,France,non-sporting,1,1
2005,Germany,working,1,1
2005,Germany,hound,1,1
2005,Germany,working,1,1
2005,Germany,herding,1,1
2005,Germany,terrier,1,1
2005,Germany,sporting,1,1
2005,Germany,working,1,1
2005,Japan,working,1,1
2005,Japan,toy,1,1
2005,Malta,hound,1,1
2005,Mexico,toy,1,1
2005,Persia,hound,1,1
2005,Poland,toy,1,1
2005,Russia,working,1,1
2005,Spain,non-sporting,1,1
2005,Switzerland,working,1,1
2005,Switzerland,working,1,1
2005,Tibet,working,1,1
2005,United Kingdom,terrier,1,1
2005,United Kingdom,hound,1,1
2005,United Kingdom,herding,1,1
2005,United Kingdom,terrier,1,1
2005,United Kingdom,non-sporting,1,1
2005,United Kingdom,working,1,1
2005,United Kingdom,sporting,1,1
2005,United Kingdom,herding,1,1
2005,United Kingdom,sporting,1,1
2005,United Kingdom,hound,1,1
2005,United Kingdom,terrier,1,1
2005,United Kingdom,working,1,1
2005,United Kingdom,toy,1,1
2005,United States,working,1,1
2005,United States,terrier,1,1
2005,Wales,herding,1,1
